Setting_Name,Category,New_Category,Owner,Default,New_Description,Description
ALLOW_MANUAL_EMAIL_PO,Email Configuration,,Admin,,,"Comma-Separated list of User ID's or Group ID's. that will have the ""Email PO"" option which would allow a user to email the PO through iPurchase. Asterisk indicates everyone, a blank indicates no one."
APPLICATION_URL,Email Configuration,,Admin,,,"Full application URL (e.g., https://ipurchase.company.com). Used by scheduled jobs for email links. On test/backup systems, should be updated to match environment."
APPROVAL_EMAIL_ONLY_NOPO,Email Configuration,,Admin,`FALSE`,,"TRUE | FALSE. If TRUE, approval emails are sent only when the requisition does NOT require a PO (xxreq_po_required = TRUE). Used to reduce email volume."
BASE_URL,Email Configuration,,Admin,,,"Base URL/hostname (e.g., https://server.company.com). Used in email notifications and scheduled job links. Should be updated on test/backup systems."
EMAILFROM,Email Configuration,,Admin,,Email address used as the From field for all iPurchase emails. Should be valid and monitored if replies are expected.,AD Email Address This is a valid email address for which all iPurchase emails will be sent from.
EMAILSERVER,Email Configuration,,IT,,"IP address or hostname of the SMTP server for outgoing emails. Supports port syntax (e.g., smtp.company.com:587). Common ports: 25 (standard), 587 (STARTTLS recommended), 465 (SSL).",IP Address of SMTP Server. This is the IP Address of the SMTP Server from which iPurchase sends all emails.
EMAILS_TO,Email Configuration,,Admin,,,Comma-separated email address(s) where all emails from the service will be sent to. This overrides the actual user's email addresses.
EMAIL_AUTH_PASSWORD,Email Configuration,,Admin,,SENSITIVE - SMTP authentication password. Coordinate with IT when changing.,Technical - Do Not Modify without consulting ISS
EMAIL_AUTH_TYPE,Email Configuration,,Admin,,,Technical - Do Not Modify without consulting ISS
EMAIL_AUTH_USER,Email Configuration,,Admin,,,Technical - Do Not Modify without consulting ISS
EMAIL_DEBUG_LEVEL,Email Configuration,,Admin,`0`,,"Numeric 0-3. Email system debug verbosity. 0=off, 1=basic, 2=detailed, 3=verbose. Used for troubleshooting email issues."
EMAIL_DISCLAIMER_REJECT,Email Configuration,,,"`If questions, please contact the approver that rejected the requisition`",,"If questions, please contact the approver that rejected the requisition"
EMAIL_HEADER,Email Configuration,,Admin,,,HTML content. Custom header included in email templates. Used for branding/styling emails.
EMAIL_HELPDESK,Email Configuration,,Admin,,,Helpdesk Email Address Enter the email address for the helpdesk. Used on login screen as well as all emails.
EMAIL_HELP_TAG,Email Configuration,,Admin,"`If questions, email the $HELPDESK, or contact the originator, or approver.`",,"Include -- If questions, email the helpdesk link on all internal emails."""
